EVENT_TYPE
drought
severe weather
sand/dust storm
storm surge
hail
lightning/thunderstorms
pyroclastic flow
flash flood
extra-tropical storm
flood (general)
storm (general)
tornado
ash fall
heat wave
landslide (dry)
tropical cyclone
ground movement
derecho
cold wave
riverine flood
wildfire (general)
lava flow
blizzard/winter storm
volcanic activity (general)
mudslide
coastal flood
forest fire
landslide (wet)
tsunami
rockfall (wet)
severe winter conditions
"land fire (brush, bush, pasture)"
