STATE,EVENT_TYPE,rate,EVENT_INTENSITY,danger_factor
ALABAMA,drought,0.0377541142303969,3,0.1132623426911907
ALABAMA,flash flood,0.35333978702807356,4,1.4133591481122942
ALABAMA,hail,0.45595353339787026,3,1.3678606001936107
ALABAMA,tornado,0.2904162633107454,7,2.032913843175218
ALASKA,coastal flood,0.01452081316553727,2,0.02904162633107454
ALASKA,flash flood,0.001936108422071636,4,0.007744433688286544
AMERICAN SAMOA,coastal flood,0.001936108422071636,2,0.003872216844143272
AMERICAN SAMOA,drought,0.000968054211035818,3,0.002904162633107454
AMERICAN SAMOA,flash flood,0.011616650532429816,4,0.046466602129719266
AMERICAN SAMOA,tsunami,0.000968054211035818,10,0.009680542110358181
ARIZONA,drought,0.12584704743465633,3,0.37754114230396896
ARIZONA,flash flood,0.9138431752178122,4,3.655372700871249
ARIZONA,hail,0.11132623426911907,3,0.3339787028073572
ARIZONA,tornado,0.018393030009680542,7,0.1287512100677638
ARKANSAS,drought,0.1181026137463698,3,0.3543078412391094
ARKANSAS,flash flood,0.2942884801548887,4,1.1771539206195547
ARKANSAS,hail,0.723136495643756,3,2.169409486931268
ARKANSAS,tornado,0.12003872216844143,7,0.84027105517909
CALIFORNIA,coastal flood,0.015488867376573089,2,0.030977734753146177
CALIFORNIA,drought,0.952565343659245,3,2.857696030977735
CALIFORNIA,flash flood,0.46369796708615685,4,1.8547918683446274
CALIFORNIA,hail,0.041626331074540175,3,0.12487899322362053
CALIFORNIA,tornado,0.016456921587608905,7,0.11519845111326234
CALIFORNIA,tsunami,0.00484027105517909,10,0.0484027105517909
COLORADO,drought,0.3233301064859632,3,0.9699903194578896
COLORADO,flash flood,0.21006776379477252,4,0.8402710551790901
COLORADO,hail,1.202323330106486,3,3.606969990319458
COLORADO,tornado,0.16553727008712488,7,1.158760890609874
CONNECTICUT,drought,0.005808325266214908,3,0.017424975798644726
CONNECTICUT,flash flood,0.16456921587608905,4,0.6582768635043562
CONNECTICUT,hail,0.013552758954501452,3,0.04065827686350436
CONNECTICUT,tornado,0.011616650532429816,7,0.08131655372700872
DELAWARE,coastal flood,0.02904162633107454,2,0.05808325266214908
DELAWARE,flash flood,0.015488867376573089,4,0.061955469506292354
DELAWARE,hail,0.02032913843175218,3,0.06098741529525654
DELAWARE,tornado,0.00484027105517909,7,0.03388189738625363
DISTRICT OF COLUMBIA,coastal flood,0.003872216844143272,2,0.007744433688286544
DISTRICT OF COLUMBIA,flash flood,0.01936108422071636,4,0.07744433688286544
DISTRICT OF COLUMBIA,tornado,0.001936108422071636,7,0.013552758954501452
FLORIDA,coastal flood,0.0377541142303969,2,0.0755082284607938
FLORIDA,drought,0.11907066795740562,3,0.35721200387221685
FLORIDA,flash flood,0.2420135527589545,4,0.968054211035818
FLORIDA,hail,0.3059051306873185,3,0.9177153920619555
FLORIDA,tornado,0.14811229428848016,7,1.0367860600193612
GEORGIA,coastal flood,0.00968054211035818,2,0.01936108422071636
GEORGIA,drought,0.03872216844143272,3,0.11616650532429815
GEORGIA,flash flood,0.37560503388189737,4,1.5024201355275895
GEORGIA,hail,0.3591481122942885,3,1.0774443368828654
GEORGIA,tornado,0.17521781219748306,7,1.2265246853823815
GUAM,coastal flood,0.003872216844143272,2,0.007744433688286544
GUAM,drought,0.026137463697967087,3,0.07841239109390126
GUAM,flash flood,0.00484027105517909,4,0.01936108422071636
HAWAII,drought,0.46079380445304935,3,1.382381413359148
HAWAII,flash flood,0.04743465634075508,4,0.18973862536302033
HAWAII,hail,0.001936108422071636,3,0.005808325266214908
IDAHO,flash flood,0.03484995159728945,4,0.1393998063891578
IDAHO,hail,0.07454017424975799,3,0.22362052274927396
IDAHO,tornado,0.00484027105517909,7,0.03388189738625363
ILLINOIS,drought,0.2158760890609874,3,0.6476282671829622
ILLINOIS,flash flood,0.22749273959341723,4,0.9099709583736689
ILLINOIS,hail,0.8373668925459826,3,2.5121006776379478
ILLINOIS,tornado,0.25556631171345595,7,1.7889641819941917
INDIANA,drought,0.00968054211035818,3,0.029041626331074537
INDIANA,flash flood,0.09874152952565343,4,0.39496611810261373
INDIANA,hail,0.3920619554695063,3,1.176185866408519
INDIANA,tornado,0.09874152952565343,7,0.691190706679574
IOWA,drought,0.8383349467570184,3,2.515004840271055
IOWA,flash flood,0.0696999031945789,4,0.2787996127783156
IOWA,hail,0.989351403678606,3,2.9680542110358177
IOWA,tornado,0.27686350435624396,7,1.9380445304937077
